AUTHOR,TITLE,SERIES,NARATOR
Robert R. McCammon,Speaks the Nightbird,"Matthew Corbett, Book 1",Edoardo Ballerini
Robert R. McCammon,The Queen of Bedlam,"Matthew Corbett, Book 2",Edoardo Ballerini
Robert R. McCammon,Mister Slaughter,"Matthew Corbett, Book 3",Edoardo Ballerini
Robert R. McCammon,The Providence Rider,"Matthew Corbett, Book 4",Edoardo Ballerini
Robert R. McCammon,The River of Souls,"Matthew Corbett, Book 5",Edoardo Ballerini
Robert R. McCammon,Swan Song,,Tom Stechschulte
Roger Zelazny,Nine Princes in Amber,"Chronicles of Amber, Book 1",Alessandro Juliani
Sabaa Tahir,An Ember in the Ashes,"An Ember in the Ashes, Book 1","Fiona Hardingham , Steve West"
Sara Gruen,Water for Elephants,,"David LeDoux , John Randolph Jones"
Scott Lynch,The Lies of Locke Lamora,"Gentleman Bastard Sequence, Book 1",Michael Page
Scott Meyer,Off to Be the Wizard,"Magic 2.0, Book 1",Luke Daniels
Scott Meyer,Spell or High Water,"Magic 2.0, Book 2",Luke Daniels
Scott Meyer,An Unwelcome Quest,"Magic 2.0, Book 3",Luke Daniels
Sir Arthur C. Clarke,Rendezvous with Rama,"Rama, Book 1","Peter Ganim , Robert J. Sawyer - introduction"
Sophie Kinsella,Confessions of a Shopaholic,"Shopaholic, Book 1",Emily Gray
Stephen King,The Shining,"The Shining, Book 1",Campbell Scott
"Steven D. Levitt , Stephen J. Dubner",Freakonomics,,Stephen J. Dubner
Steven Novella,The Skeptics' Guide to the Universe,,Steven Novella
Suzanne Collins,Catching Fire,,Carolyn McCormick
Suzanne Collins,The Hunger Games,,Carolyn McCormick
T. H. White,The Once and Future King,"Once and Future King, Book 1-5",Neville Jason
Tana French,In the Woods,"Dublin Murder Squad, Book 1",Steven Crossley
Tana French,Faithful Place,"Dublin Murder Squad, Book 3",Tim Gerard Reynolds
Taylor Anderson,Into the Storm,"Destroyermen, Book 1",William Dufris
Terry Goodkind,Wizard's First Rule,"Sword of Truth, Book 1",Sam Tsoutsouvas
The New York Times,Your First Listen,,Mark Moran
Vasily Mahanenko,Survival Quest,"The Way of the Shaman, Book 1",Jonathan Yen
Vasily Mahanenko,The Kartoss Gambit,"The Way of the Shaman, Book 2",Jonathan Yen
Vasily Mahanenko,The Secret of the Dark Forest,"The Way of the Shaman, Book 3",Jonathan Yen
Vasily Mahanenko,The Phantom Castle,"The Way of the Shaman, Book 4",Jonathan Yen
Veronica Roth,Divergent,"Divergent, Book 1",Emma Galvin
Vladimir Giljarovskij,Moskva i moskvichi [Moscow and Muscovites],,"Mikhail Kozakov , Artyom Karapetyan"
W. Bruce Cameron,A Dog's Purpose,,George K. Wilson
William D. Arand,Super Sales on Super Heroes,"Super Sales on Super Heroes, Book 1",Jeff Hays
William D. Arand,"Super Sales on Super Heroes, Book 2","Super Sales on Super Heroes, Book 2",Nick Podehl
William D. Arand,"Super Sales on Super Heroes, Book 3","Super Sales on Super Heroes, Book 3",Nick Podehl
"William Shakespeare , Edgar Allan Poe , Elizabeth Barrett Browning",Classic Love Poems,,Richard Armitage
Winifred Watson,Miss Pettigrew Lives for a Day,,Frances McDormand
Yahtzee Croshaw,Will Save the Galaxy for Food,"Jacques McKeown, Book 1",Yahtzee Croshaw
